area_code,area,item_code,item,element_code,element,unit,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018
173,Poland,463,"Vegetables, fresh nes",5419,Yield,hg/ha,115783,119117,127780,115707,137317,146462,129689,120626,125371,112656,135260,121574,131835,180333,184988,192837,196311,199168,196963,277995,259158,306964,265582,313743,229920,252392,239184,246562,232225,261958,238041,341389,208792,214286,199270,177127,207887,206136,222169,254080,255119,248874,277003,268392,228868,248062,255582,196995
173,Poland,463,"Vegetables, fresh nes",5510,Production,tonnes,672700,661100,765400,695400,823900,856800,918200,1137500,1167200,1081500,1275500,1112400,1120600,1281300,1271700,1356900,1460300,1488300,1460600,1192600,1199900,1445800,1232300,1098100,1142700,1108000,1054800,1047887,1012500,1123800,1154500,1351900,743300,810000,819000,886448,836933,748563,833221,853023,850287,824419,766827,877319,826807,882206,910714,717950
173,Poland,420,"Vegetables, leguminous nes",5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,1500,1600,1306,1698,1497,1700,1500,1400,1500,1631,1606,1456,983,1248,1481,1481,1489,1432,1277,1568,1441,1354,1265,1129,1767,1720,2150,2228,2180
173,Poland,420,"Vegetables, leguminous nes",5419,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,66667,67500,65084,64782,64128,61765,65333,67857,53333,61312,65380,68681,72747,73309,82485,76448,63707,73520,71919,76358,79230,79638,74285,95031,87566,71895,73553,85588,64908
173,Poland,420,"Vegetables, leguminous nes",5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,10000,10800,8500,11000,9600,10500,9800,9500,8000,10000,10500,10000,7151,9149,12216,11322,9486,10528,9184,11973,11417,10783,9397,10729,15473,12366,15814,19069,14150
173,Poland,205,Vetches,5312,Area harvested,ha,34000,29000,26000,30000,26133,18735,18438,15813,15348,12670,16870,14502,17477,13151,10119,9596,8600,9131,8828,7300,22047,32584,18942,9853,7407,6029,5151,4840,2937,2720,2098,655,608,683,2674,899,2559,1759,3022,5368,2782,3650,3568,6935,11845,10882,6620,
173,Poland,205,Vetches,5419,Yield,hg/ha,9706,8621,10000,10000,7325,8600,7263,5732,6863,6624,7985,9500,8675,9576,10096,10612,10458,10368,9623,11644,15100,13400,13770,8800,12301,11133,10540,14000,12819,13607,13389,14702,12845,15857,14390,10901,11501,16714,16959,17204,14410,14400,15238,16959,14349,16347,1573,
173,Poland,205,Vetches,5510,Production,tonnes,33000,25000,26000,30000,19142,16112,13392,9064,10534,8393,13470,13777,15161,12593,10216,10183,8994,9467,8495,8500,33292,43663,26083,8671,9111,6712,5429,6776,3765,3701,2809,963,781,1083,3848,980,2943,2940,5125,9235,4009,5256,5437,11761,16996,17789,1041,
173,Poland,222,"Walnuts, with shell",5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,200,183,400,500,400,500,600,700,755,1500,1841,2000,3479,3611,2993,2328,6345,6176,19583,20106,29059,26551,16529,3012,2773,2482,2802,2722,2310
173,Poland,222,"Walnuts, with shell",5419,Yield,hg/ha,,,,,,,,,,,,,,,,,,,,12500,19672,25000,28000,22500,26000,23333,22857,21192,20000,21727,25000,22892,23481,27357,25069,10139,10317,5912,6088,3157,3938,7448,26786,25013,28525,25749,13659,36710
173,Poland,222,"Walnuts, with shell",5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,250,360,1000,1400,900,1300,1400,1600,1600,3000,4000,5000,7964,8479,8188,5836,6433,6372,11577,12241,9175,10456,12310,8068,6936,7080,7215,3718,8480
173,Poland,567,Watermelons,5312,Area harvested,ha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Poland,567,Watermelons,5510,Production,tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,Poland,15,Wheat,5312,Area harvested,ha,2060500,2047700,1961700,2002200,1842100,1832193,1833867,1852302,1549071,1608623,1417734,1456271,1537317,1706480,1884536,2025005,2132600,2178661,2195450,2280653,2437393,2405097,2476870,2407047,2406786,2480428,2555092,2631319,2582969,2635097,2627047,2414175,2308045,2310742,2218093,2175725,2111982,2277950,2346200,2124222,2258700,2077200,2137868,2338782,2395451,2364078,2391853,2417230
173,Poland,15,Wheat,5419,Yield,hg/ha,26478,25135,29599,32007,28264,31355,28946,32551,27032,25957,29648,30734,33598,35220,34283,37045,37239,34802,38542,39575,38032,30635,33279,31817,36015,34574,32064,36243,35042,32268,35336,38539,34047,42811,39545,32447,39381,40716,41725,44290,41348,41438,44367,49721,45744,45802,48773,39871
173,Poland,15,Wheat,5510,Production,tonnes,5455700,5146800,5806500,6408400,5206500,5744775,5308265,6029398,4187394,4175486,4203256,4475712,5165083,6010201,6460793,7501702,7941554,7582141,8461619,9025756,9269974,7368097,8242694,7658457,8668035,8575954,8192681,9536576,9051339,8502865,9283044,9304000,7858160,9892482,8771434,7059671,8317265,9274920,9789586,9408110,9339200,8607600,9485183,11628670,10957787,10827902,11665702,9637620
173,Poland,1717,"Cereals, Total",5312,Area harvested,ha,8452100,8484800,8246800,8088100,7864106,7768569,8001739,7852631,7871605,7846509,7906447,8094248,8105538,8159070,8204988,8237748,8382642,8439011,8376605,8530848,8716244,8321108,8506171,8480981,8571214,8720105,8899413,8843718,8701304,8813629,8820941,8293400,8163257,8377273,8328904,8381129,8352860,8598806,8582827,7597044,7803026,7704311,7479452,7484956,7511852,7400264,7601996,7806310
173,Poland,1717,"Cereals, Total",5419,Yield,hg/ha,23510,24046,26506,28409,24870,26856,24243,27426,22029,23368,24943,26150,27264,29896,28935,30391,31088,29037,32182,32838,31908,23990,27530,25661,30224,29011,28541,30710,29594,25348,30564,32408,28654,35376,32331,25982,32495,32172,34751,35840,34304,37049,38044,42680,37278,40335,41996,33667
